Source,Brand,Specialization,Description,Adress,Date,Score,Comment
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,2,Роллы очень вкусные это наверное главное  являлись постоянными клиентами данной доставки долгое время  не смотря на частые опоздания. За последние полгода произошло много  очень много изменений  не в пользу клиента  цены выросли  значительно и несколько раз за год  роллы по размеру иногда привозят нормальные  иногда с вишенку    минимальная сумма заказа по Октябрьском району от 800р   к слову эта доставка в 10 минутах езды от нашего адреса!   акция  3 рыбки  теперь действует только при заказе от 1250    вечная путаница с промокодами  то они есть  то никакие промокоды не действуют  уже давно это слова оператора   на самом деле промокоды у одного оператора действуют и он их добавляет  у другого не действуют  при заказе от 800р ролл  Сяке маки  в подарок  6 штук     ролл  Аляска  не долго продержался в подарках при заказе от 1000р  теперь он при заказе от 1500р.Ещё раз   роллы вкусные  но изменения  не в качестве блюда  а в урезании лояльности к клиенту  к ПОСТОЯННОМУ КЛИЕНТУ  который замечает все эти изменения еженедельно  огорчают.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,1,         ..
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.10.2022,5,Плюсы  хорошее обслуживание  свежие продукты  интересные акции  приемлемые цены. Минусы  доставка только для заказов на определенную сумму  один пункт самовывоза  не всем удобно добираться  бывает долгое время ожидания в пятницу и субботу. Новая акция для детей  собери 5 купонов и обменяй их на Детский набор.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",17.10.2022,5,Очень вкусные суши. Заказали первый раз и такой успех! Свежие продукты  было видно  роллы приготовили и отправили  по акции в подарок была двойная пицца.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,2,Заказали комбо пиццу  оформили самовывоз. Приехали к нужному времени  позвонили за10 минут до приезда. Прождали 20 минут  в итоге вынесли пиццу тупо подогретую. По внешнему виду видно  что состряпали давно сыр давно застывший.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,4,Очень нравится кухня  хорошие порции  вкусно и интересно. Особенно роллы в тортильи с курицей или беконом  поскольку не ем морепродукты. Но с доставкой беда какая то. Немного опаздывает курьер. И по времени на синюшку   2 3 часа  это очень много  приходится отказываться от заказа. Ребят  доработайте этот момент  в остальном вы молодцы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,3,Кухня очень вкусная  всегда довольны. Но доставка часто опаздывает никаких извинений организация не приносит  . Ожидание долгое по 2 часа  сегодня сказали  что ожидание будет 3 часа. Не стали заказывать.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.10.2022,1,Сегодня закали роллы  первый раз в этом заведении  решили попробовать. Лучше бы мы этого не делали. Роллы полный отстой  одну треть кое как съели  были очень голодные вечером  остальные в мусорное ведро выбросили  при том что заказали пять видов. Начинка практически отсутствует  рис каша  васаби какой то химический неестественного цвета  ни разу такого не видели. Забирали самовывозом  крайне неудобное место для подъезда. Не рекомендуем заказывать здесь  качество отвратительное  для себя естественно вывод сделали  сюда больше ни ногой.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",07.10.2022,5,Вкусные суши тут.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.10.2022,5,Безумно нравится лава тут  я в восторге
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.10.2022,5,Вчера был день рождения у мужа  решили ничего не готовить  а просто заказать еду из ресторана. Выбрали этот ресторан  так как до этого уже ходили туда и все понравилось. Доставка не разочаровала. Все приехало горячее  вкусное и свежее  все довольны. Доставка  как мне показалось  достаточно быстрая  цены приемлемые. Спасибо за хороший вечер!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",30.09.2022,3,При заказе Нам положена была пицца в подарок  пиццу не положили  обломали   наверняка персонал сожрал  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",29.09.2022,5,Бывает  задерживаются с доставкой  но это  во первых  бывает только на выходные  когда понятное дело  перегруз  а во вторых  не так критично  потому что готовят действительно классно. Мы давнишние фанаты здешних роллов  а недавно переключились и на десерты. Торт Сникерс особенно понравился  да  калории зашкаливают  но зато как же вкусно! И ещё кое что отмечу и это самое главное  всё свежее  именно  что готовят перед доставкой  никаких подогретых  вчерашних блюд! Спасибо вам за вкуснятину! Заказывали и будем заказывать!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.09.2022,5,Приемлимые цены  обслуживание и качество. Спасибо!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.09.2022,5,Заказывала здесь суши с доставкой на дом. Доставили заказ точно в указанное время  без опозданий. Суши были очень вкусные  не такие  как в других местах  скорее всего приготовленные по какому то особенному рецепту. Размер порции достаточно большой  ребята не поскупились. Стоимость суши с доставкой вполне адекватная.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.09.2022,5,Роллы вкусные  начинки много  рис правильно приготовленный. На большой набор  соевый соус в удобной баночке. Спасибо  очень всё понравилось.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",25.09.2022,5,Роллы свежие  много начинки было  заказывали несколько разных  хорошо  что их большой выбор. Все супер! и по размеру  и по вкусу. Остались довольны. Соус унаги вкусный  нигде такого не встречал. Служба доставки отличная  быстро и всегда аккуратно упаковано. Кстати цены и новые акции тоже очень радуют.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.09.2022,2,Вкусно должно было быть  но... всё холодное. Опоздание 40 минут. ТРЕТИЙ!!! раз курьер ЗАБЫВАЕТ подарок в машине. Заказывать больше никогда не будем. Если у вас много заказов  говорите  что вовремя не привезут.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.09.2022,1,Пицца отстой  тонкая не вкусная... Раньше было лучше и заказывали с удовольствием  а сейчас всё плохо больше не буду заказывать.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.09.2022,5,У меня плотный график работы и часто приходится прибегать за доставкой еды. Заказываю с Ресторана доставки Sushi Holl. Здесь самые вкусные блюда. Всегда делаю предпочтение на пиццу и суши. Готовят явно по необычному рецепту  очень вкусно. С доставкой иногда опаздывают  но все в пределах 15 минут. Не могу не порекомендовать
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.09.2022,5,Всё очень вкусно    Рекомендую 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",08.09.2022,5,Очень вкусные роллы  заказываем не первый год уже    всегда бесплатно соевый соус  васаби  имбирь к роллам. Очень радуют подарки при заказах     все свежее всегда ! Ребята так держать!!!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,1,Заказали у вас доставку  так как хорошие отзывы  но были сильно разочарованы. Заказали набор Кумамото 1280 гр. за 1850 рублей и Канада 240 гр. за 580 рублей . 1. Пришла какая то безвкусная  мягко говоря хрень 2. Не положили роллы Канада. 3. Это конечно не особо важно  но всё же. После заказа мне позвонили и предложили в подарок ролл или пиццу  мы выбрали пиццу  но и её никто не положил в заказ.  Деньги за роллы вернули  но хорошее настроение не получилось вернуть.  В целом роллы отвратительны  так как в основной массе голимый слипшийся рис и зелёный лук  который был почти везде. Пс мы как то брали у вас в киоске роллы  в Красноярске  они были на много раз лучше.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Заказываем здесь роллы уже несколько лет! Но в последнее время все стало прямо очень вкусно  так держать  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",25.08.2022,5,Классные суши часто заказываем тут возят быстро вродебы в наборе всегда все имеется  палочки соус и проч
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.08.2022,2,Подскажите почему не видно плохой отзыв о том как вы испортились. Которая оставила моя жена.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",06.08.2022,5,У вас самые вкусные роллы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",04.08.2022,1,Спасибо за стухший угорь      
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",01.08.2022,1,       смеёмся всей компанией читая отзыв   что здесь самая лучшая Филадельфия в городе ! Хочется задать вопрос людям   ребята вы серьезно  Вы роллов нормальных не ели что ли никогда     Хотя догадываюсь   отзыв заказной! И кто бы и что не говорил и не оспаривал   однозначно ребята   вы в минусе! Роллы ваши пробовали ! Отстой! Номер для связи оставлять не собираюсь ! Позвоню вам лично и сообщу подробности заказа! И ещё ! Совет! Оторвите руки поварам ! Поверьте   это дельный совет!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.07.2022,5,Лучшая доставка    Филадельфия самая вкусная в городе   
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.07.2022,5,Безумно вкусные роллы  Филадельфия просто божественная! Молодцы теперь ваши постоянные клиенты!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.07.2022,5,Роллы очень понравились  доставка во время  пицца в подарок обрадовала  была ещё тепленькой. Спасибо за сервис 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.07.2022,5,Ой  ну эта доставка нам очень полюбилась. Вкусные роллы  много начинки в них  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.07.2022,5,Спасибо...за оху.....е      роллы...это просто отвал башки    вкусовые сосочки балдеют     обязательно вернёмся к вам      
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",07.07.2022,5,Вкусный рис  много рыбы  все свежее!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.07.2022,5,Когда первый раз делали заказ  нашей семье понравилось  как готовят. Сейчас уже стали  постоянными клиентами  всегда все свежее  вкусное  цены приемлемые. Заказываем еду  обычно на дом с доставкой  так как у них  только один пункт самовывоза и нам неудобно добираться.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",28.06.2022,5,Самые вкусные роллы в Иркутске!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Заценила их пиццу и доставку. Всё путём. Заказ доставили быстро  пицца свежая  блин хорошо испекли  начинки много  мелко всё изрублено. Кушаешь и хочется кушать. Думаю не последний раз здесь заказ делаю  благо есть ещё что попробовать. Жалко правда  что есть только один пункт самовывоза  а доставка только при заказе на определённую сумму.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",21.06.2022,5,Пользуюсь доставкой не первый раз. На сайте удобно сделано меню  выбрал нужные позиции  отправил заявку и ждёшь подтверждения от менеджера по телефону. Цены приемлемые и плюс часто проходят акции. Сразу заметно качество исполнения роллов  много начинки  рис не переваренный. Если заказывать в пятницу или субботу  возможно небольшие задержки в связи с большим количеством заказов. Сервис мне нравится  вкусно и по доступной цене.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",21.06.2022,5,Заказывали набор суши в данном месте впервые  заказ приняли быстро  сами суши очень вкусные  рыба не маленькими ломтиками как обычно это бывает в других местах  а хороших размеров. Единственное долго ждали заказ  но наверное повлияла суббота  поэтому звезду не снимаю
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.06.2022,1,Заказывала роллы почти на 6 тыс.  курьер опоздал и привёз не все роллы  у нас было мероприятие  а за такие деньги нам привезли два небольших пакета. Вы издеваетесь  !! Больше у вас заказывать не буду!!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,2,Давно разочаровались в суши холл. Роллы стали не вкусные  с майонезом  заказы постоянно опаздывают  когда самовывозом забираешь  постоянно не докладывают..
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.06.2022,5,Очень вкусные ролы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.06.2022,3,Доставку ждали 2 часа 10 минут. Явные проблемы с доставкой и судя по отзывам которая не решается. Пицца  люцифер  невнятная по вкусу  роллы я не скажу  что прямо вау. Долгое ожидание очень сильно подпортило впечатление.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",08.06.2022,2,Заказали сет роллов Накацу  в составе были роллы Сури Лайм  по составу начинка должна быть из Лосося Терияки. По вкусу   консервированная рыба   запах отвратительный. Либо под конец рабочего дня не хватило ингредиентов   либо повар данного заведения не умеет готовить лосось с соусом терияки. Кушать их было не в наших силах. Заказали так же лапшу со свининой   лапша  как и мясо пресные. Зато привезли быстро  положили роллы в подарок   за это бал можно добавить.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",03.06.2022,1,Девочки  ну что такое  Который раз  не профессиональный подход к клиенту. Обещаете перезвонить и решить проблему  но как обычно   тишина.       Звоню Вам  а Вы трубку не берете.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Все отлично. Заказывали роллы  в подарок от 1 500 руб. закинули пиццу  а за опоздание положили десертик  вообщем молодцы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.05.2022,5,Респект за оперативность      
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.05.2022,3,Брали сет ролл. Один рис и крем  больше никаких вкусовых ощущений.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.05.2022,4,Нам понравилось! Я веганка  заказала роллы с огурцом и авокадо. Что показательно  авокадо был хороший  Сделано немножко не аккуратно  и начинки не так много  но спелый авокадо   это уже показатель. Надеюсь  он там всегда хороший.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",04.05.2022,4,Заказали йотей всё супер и вкусно!!доставили быстро!желаем так вам держать!!!спасибо.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",17.04.2022,5,Быстрая доставка  роллы красивые  неплохие на вкус. Цены приемлемые.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",16.04.2022,5,Перепробовав много доставок с уверенностью могу сказать что вы лучшие  Самая вкусная пицца и роллы      Теперь всегда буду заказывать у вас  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",29.03.2022,5,Самые вкусные ролы в городе    Очень удивилась  что рейтинг не 5. Иногда велась на рекламу и пробовала другие фирмы. Не сравнить с рекламированным Прянников и тд Ваши ролы самые самые и без рекламы    Спасибо вам за качество
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.03.2022,5,Прекрасные роллы  очень вкусные. Доставка полтора часа  все понравилось. Спасибо.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.03.2022,4,  прекрасные роллы
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.03.2022,2,заказала сет 4  рыбка дохленькая какая то и тонкая  икринок зажопили  вкусные только темпура эби роллы  что шли в подарок неплохие  но соус тобико у вас конечно странной консистенции  будто старый или разведён чем то
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.03.2022,5,Вы лучшие друзья.Все понравилось.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.03.2022,3,Вроде вкусно  но рыбы очень мало особенно в ролле за 550р   прям как лазером нарезали...доставка  как и писали ниже с опозданием. Заказала бы ещё  может быть да  но не факт
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",07.03.2022,5,Отличные большие вкусные свежие роллы. Заказываем постоянно  самые любимые роллы. Из минусов доставка всегда от 1 5 часов  иногда привозят раньше. Но просто научились заказывать заранее    всегда ролл в подарок  приятная акция.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",25.02.2022,5,На 23 заказывали роллы  пиццу и горячие салаты. Спасибо большое за такую вкусняшку. Мне даже сложно выделить что то одно из заказанного
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.02.2022,5,Вкусно! Молодцы! Спасибо!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.02.2022,5,Много лет заказываем здесь роллы  всегда вкусные и свежие  хороший выбор именно всех классических роллов  без жуткой фантазии современных сушистов   также заказывали пиццу   очень вкусная оказалась. Курьеры и операторы вежливые  доставка всегда вовремя  как и говорят. Акции хорошие  что в каждом заказе будет подарочный ролл  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.02.2022,5,Хорошая кухня  особенно радуют детские наборы  так как редко  где они достойные. Частенько еще и акции интересные проходят. Доставка быстрая.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.02.2022,5,Пицца и роллы понравились  Ещё закажем 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.02.2022,5,Вкусные роллы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.02.2022,5,Спасибо большое! Вы как всегда готовите нереально вкусные роллы  которые можно есть  как мне кажется  не переставая каждый день.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.02.2022,5,Очень вкусные роллы и пицца. Спасибо. Обязательно будем заказывать еще
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",16.02.2022,5,Я заказываю не первый раз и доставка всегда своевременная. Самое главное  что еда вкусная и свежая! У ресторана бывают интересные акции. Жаль  что один пункт самовывоза  но в остальном всё хорошо. Рекомендую Sushi Holl.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.02.2022,5,Не могу не оставить отзыв на одну из самых своих любимых доставок. Спасибо  что качество всегда на высоте  Лучшие суши   это точно
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.02.2022,5,Саааамые вкусненькие роллы во всем Иркутске. Постоянно в подарочек дополнительный ролл. Быстро. Всё очень свежее. Девочки на телефоне приветливые и милые.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",12.02.2022,5,Заказывал  японский тандем  и  тайский салат с говядиной  привезли быстро  и все было достаточно вкусным 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.02.2022,5,Наконец то я нашла вкусные роллы в Иркутске. Спасибо  очень вкусно!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",04.02.2022,1,Ждём третий час   на вкус пока не пробовали . От офиса находимся в двух километрах. Спасибо
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",04.02.2022,5,Классный суши  быстрая доставка! Давненько уже тут беру   не разочаровывают!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",01.02.2022,5,Бомбически вкусные роллы   Аккуратные  не разваливаются. Рис не переварен  рыбы много! В общем  все как нужно! Еще и десерт в подарок прислали! Огромный респект поварам  